Id,Ticker,Data,Abertura,Fechamento,Volume
1,BBAS3.SA,2020-01-02,17.269332377910093,17.414997100830078,26319800
2,BBSE3.SA,2020-01-02,22.37851850769037,22.437408447265625,3930900
3,ITUB3.SA,2020-01-02,20.731873787156935,21.002456665039062,902440
4,PETR4.SA,2020-01-02,9.038208567967606,9.094493865966797,37774500
5,VALE3.SA,2020-01-02,31.513702250554463,31.718034744262695,17509700
6,BBAS3.SA,2020-01-03,17.188411540830383,17.385868072509766,18930800
7,BBSE3.SA,2020-01-03,22.33729438196796,22.190067291259766,4209200
8,ITUB3.SA,2020-01-03,20.938028022016056,20.828506469726562,427570
9,PETR4.SA,2020-01-03,9.147817996413812,9.02043628692627,71595600
10,VALE3.SA,2020-01-03,31.3385558077376,31.484506607055664,17284800
11,BBAS3.SA,2020-01-06,17.285525999423214,17.15604591369629,19999800
12,BBSE3.SA,2020-01-06,22.3726251999386,22.555185317993164,3613900
13,ITUB3.SA,2020-01-06,21.124858851520095,20.615903854370117,627550
14,PETR4.SA,2020-01-06,9.014511812241434,9.127081871032715,81844000
15,VALE3.SA,2020-01-06,31.40861698479251,31.29769515991211,32787800
16,BBAS3.SA,2020-01-07,17.156043713531023,17.02656364440918,21277000
17,BBSE3.SA,2020-01-07,22.790754731030372,22.56696891784668,2705700
18,ITUB3.SA,2020-01-07,20.718987506646837,20.216474533081055,656590
19,PETR4.SA,2020-01-07,9.130043349164602,9.091532707214355,32822000
20,VALE3.SA,2020-01-07,31.233479411513716,31.525381088256836,16326400
21,BBAS3.SA,2020-01-08,17.078352388645236,16.871185302734375,42937200
22,BBSE3.SA,2020-01-08,22.749526117026736,22.555185317993164,3163600
23,ITUB3.SA,2020-01-08,20.25512350013528,20.01030921936035,683870
24,PETR4.SA,2020-01-08,9.09153119195837,9.035245895385742,48215600
25,VALE3.SA,2020-01-08,31.642139721484227,31.53121566772461,15298500
26,BBAS3.SA,2020-01-09,16.897087091390095,16.5280704498291,49486000
27,BBSE3.SA,2020-01-09,22.58463126977458,22.490406036376953,2642600
28,ITUB3.SA,2020-01-09,20.16492892499313,19.82347869873047,1295030
29,PETR4.SA,2020-01-09,9.026359405219408,9.005622863769531,36102700
30,VALE3.SA,2020-01-09,31.379424476329014,31.11671257019043,14638000
31,BBAS3.SA,2020-01-10,16.56043969660034,16.139631271362305,30696400
32,BBSE3.SA,2020-01-10,22.546757357372176,22.22317886352539,3212800
33,ITUB3.SA,2020-01-10,19.971655043550477,19.585105895996094,760650
34,PETR4.SA,2020-01-10,9.002660737788148,8.96711254119873,25397500
35,VALE3.SA,2020-01-10,31.379429697403577,31.15174674987793,9129200
36,BBAS3.SA,2020-01-13,16.178474765004335,16.32090187072754,28363800
37,BBSE3.SA,2020-01-13,22.241495774604406,22.058338165283203,4647100
38,ITUB3.SA,2020-01-13,19.713967385329987,19.862144470214844,374660
39,PETR4.SA,2020-01-13,8.990810102594795,8.984885215759277,30676800
40,VALE3.SA,2020-01-13,31.315207478800918,32.28432083129883,27497400
41,BBAS3.SA,2020-01-14,16.275585229711577,16.233505249023438,17530000
42,BBSE3.SA,2020-01-14,22.082758169590676,22.320865631103516,3673600
43,ITUB3.SA,2020-01-14,19.862138897701175,19.7655029296875,424160
44,PETR4.SA,2020-01-14,8.955262387726423,8.887127876281738,39796500
45,VALE3.SA,2020-01-14,32.284317789203136,32.482810974121094,27817000
46,BBAS3.SA,2020-01-15,16.16228994639014,15.935700416564941,29003800
47,BBSE3.SA,2020-01-15,22.37581171634425,22.34528350830078,3603200
48,ITUB3.SA,2020-01-15,19.76549736119972,19.48202896118164,964480
49,PETR4.SA,2020-01-15,8.857504652138697,8.75382137298584,34405700
50,VALE3.SA,2020-01-15,32.28431527451688,32.377723693847656,21425300
51,BBAS3.SA,2020-01-16,16.013384450060776,16.00691032409668,23745200
52,BBSE3.SA,2020-01-16,22.491809683183217,22.021703720092773,1947700
53,ITUB3.SA,2020-01-16,19.49491634765038,19.514244079589844,519970
54,PETR4.SA,2020-01-16,8.768633067415005,8.74493408203125,28997400
55,VALE3.SA,2020-01-16,32.45946302976923,32.20842742919922,13149100
56,BBAS3.SA,2020-01-17,16.13963183572011,16.223793029785156,22843600
57,BBSE3.SA,2020-01-17,22.11328686213827,22.064443588256836,2298000
58,ITUB3.SA,2020-01-17,19.681743826434925,19.82347869873047,499290
59,PETR4.SA,2020-01-17,8.804181171193243,8.842692375183105,34908000
60,VALE3.SA,2020-01-17,32.83893811075311,33.276790618896484,36524100
61,BBAS3.SA,2020-01-20,16.184950697335097,16.120210647583008,16996600
